mbti,posts
INTJ,"Whoever fights monsters should see to it that in the process he does not become a monster.|||There are no facts, only interpretations.|||We have art in order not to die from the truth.|||In heaven, all the interesting people are missing.|||Our greatest experiences are our quietest moments.|||All truly great thoughts are conceived while walking.|||You must have chaos within you to give birth to a dancing star.|||A thought, even a possibility, can shatter and transform us.|||No price is too high to pay for the privilege of owning yourself.|||Together, we can stand up for what we believe in, and we must do that at the ballot box this year. The issues that impact us most are on the ballot across the country — from equal pay and racial justice to reproductive healthcare and climate change. And as Queen Bey says at the end of Ya Ya, we need to “keep the faith"" and ""VOTE!”|||@Beyonce, you are a record-breaker and history-maker. With Cowboy Carter, you have changed the game once again by helping redefine a music genre and transform our culture. I am so proud of you!||| just received an inquiry from the US House of Representatives regarding actions taken in Brazil that were in violation of Brazilian law.||| algorithm update coming soon with more bangers and less clickbait!|||Coming shortly, will publish everything demanded by @Alexandre and how those requests violate Brazilian law. This judge has brazenly and repeatedly betrayed the constitution and people of Brazil. He should resign or be impeached.|||Did you know that it costs as little as 3 cents per ad click on this platform?Make sure your ad is interesting and clear, just like a viral post would be and the results will amaze you.|||System purge of bots & trolls underway. Please reply to me or @XEng if legitimate accounts are suspended. X Corp will be tracing the people responsible and bringing the full force of the law to bear upon them.|||Nothing like a Tuesday morning walk with my Schnelly! Join me in my challenge - sign up for the newsletter, and shoot for raising your daily step average by 1,000 steps.|||Have you heard the history of environmental groups secretly funded by Big Coal and Oil? I recommend @TheOliverStone’s documentary, Nuclear Now. I can’t imagine why an “environmental group” would want to replace 9% of CA’s clean energy with coal or gas.|||AND you get a free 115 page guide with workouts you can do at home or in the gym, whether you’re a beginner or a hardcore lifter. Sign up at the link below. Why wouldn’t you?|||Thank you! I’ve gotten so many kind messages from all over the world, but a lot of people have asked if my pacemaker will cause any problems with FUBAR Season 2. Absolutely not. I will be ready to film in April, and you can only see it if you’re really looking for it.|||"
INTP,"During my visit to India, I saw how AI and DPI are improving access to education, healthcare, and lives of small farmers, and how these technologies can be transformative for the world.|||Thank you, Prime Minister 
@NarendraModi, for taking the time to discuss India's tech-driven development. Breakthroughs in AI and digital public infrastructure—along with innovations in agriculture, education, and healthcare—are solving some of the country's most critical challenges and should be models for the world.|||Dax Shepard and Monica Padman joined me on a recent trip to India where we talked about remarkable global health progress, what makes the country so vibrant, and how AI can unlock potential in a number of different sectors—in India and around the world:|||It is always inspiring to meet with @narendramodiand there was a lot to discuss. We talked about AI for public good; DPI; women-led development; innovation in agriculture, health, and climate adaptation; and how we can take lessons from India to the world. 
@PMOIndia|||I was so excited for the pepsi halftime show, what the hell is this?? wore my special shirt for nothing :(|||here’s why everyone is WRONG about twitter changing its name to x being “a baffling choice” and “not a smart thing to do”: a thread|||about to do a barbenheimer weekend. so excited to experience the kind of tonal whiplash I haven’t felt since my wife and I saw the Phantom of the Opera and Back to the Future: The Musical on the same day.|||okay yeah so maybe I did already tweet this but with the wrong link. And then maybe I posted it again but messed it up in a different way the second time. I'm just SOME GUY alright sometimes I MESS UP|||> see crypto people freaking out over prices > open bitcoin chart > price is the same it was 7 days ago > return to watching anime|||The White House intervened in the House, flipping votes through direct phone calls, aiming to defeat an amendment that required the government get a warrant before searching Americans' communications. Biden defeated the warrant requirement 𝗯𝘆 𝗮 𝘀𝗶𝗻𝗴𝗹𝗲 𝘃𝗼𝘁𝗲. 212-212.|||There are less than 45 different Valentines you can receive! ... I wonder if anyone has collected them all yet?|||Although there wasn't a huge event on the anniversary, over the course of the year I was able to send out 4 free newsletters and one image of me covered in mysterious foam to many people. Altogether, that's more content than many previous years, and several times more foam.|||UNDERTALE's 8th anniversary is next month... This time I don't have any plans but to sleep. However, Fangamer may release something small…!|||Yes, it was completely drawn and animated by one person. Very excited for you guys to see this.|||Sans appears as a new playable character in Japan-only Japanese rhythm game Pop'n Music! It's a bit of a dream come true for me!As the Pop'n Team created their own interpretation of him to fit the game, he's got a bit of a different style. His animations are super cute!|||going to the store, you guys need anything?|||Hello? <taps mic> Is this thing on? Technodad here. It was suggested I log in to his Twitter account. Taking the op to say ""hellooooo"" to technotwt. I love you guys, probably. Uh, am I also supposed to say ""hashtag"" or something?||"
INFJ,"Cotton On Foundation opened our Kinder Braver Together Pop-Up today at Westfield Century City! I got a sneak peek a few days ago and I love our space of kindness . If you are in LA, stop by to learn more about the collection supporting our youth mental health work globally, and to add a message to our kindness wall next to mine ! |||Came on here to just reiterate how grateful I am for all of you, still reading your beautiful bday messages <3333|||I stepped away from music quite a while ago, for a number of reasons, but I still really love it, so the kindness and support I’ve received the past few days just for a little tiny toe dip back into some music means the absolute world to me..thanks<3|||Typing on this big ass iPad ain’t as easy as you would think|||I believe a woman is a human being who belongs to the sex class that produces large gametes. It’s irrelevant whether or not her gametes have ever been fertilised, whether or not she’s carried a baby to term, irrelevant if she was born with a rare difference of sexual development that makes neither of the above possible, or if she’s aged beyond being able to produce viable eggs. She is a woman and just as much a woman as the others.|||I don’t believe a woman is more or less of a woman for having sex with men, women, both or not wanting sex at all. I don’t think a woman is more or less of a woman for having a buzz cut and liking suits and ties, or wearing stilettos and mini dresses, for being black, white or brown, for being six feet tall or a little person, for being kind or cruel, angry or sad, loud or retiring. She isn't more of a woman for featuring in Playboy or being a surrendered wife, nor less of a woman for designing space rockets or taking up boxing. What makes her a woman is the fact of being born in a body that, assuming nothing has gone wrong in her physical development (which, as stated above, still doesn't stop her being a woman), is geared towards producing eggs as opposed to sperm, towards bearing as opposed to begetting children, and irrespective of whether she's done either of those things, or ever wants to.|||I am strongly against women's and girls' rights and protections being dismantled to accommodate trans-identified men, for the very simple reason that no study has ever demonstrated that trans-identified men don't have exactly the same pattern of criminality as other men, and because, however they identify, men retain their advantages of speed and strength. In other words, I think the safety and rights of girls and women are more important than those men's desire for validation.|||Yes, an unknown number of kids are trying to rebuild their lives after people who should have known better operated on them and gave them hormones on extremely shaky evidence, but the bad guys are the people mentioning this and wanting it to stop.|||There are simply no trolls like religious : Just as annoying as the dismissive Luciferian atheists With just that additional delightful frisson of ""I'm with Jesus, buddy, too bad about you"" self-righteousness.You're with Jesus, are you? All the way? Even Peter couldn't pull that off.  Modern Pharisees. Truly.|||Can confirm: I will only flirt madly with people I do not have the slightest bit of interest in.|||I can’t ever see the world in the same way again"
INFP,"Tomorrow the Kaleidoscope music video drops at 9am EST and it’s a BIG VIBE!! Join the Hell’s Kitchen Magic.|||Don’t mind me, just strolling down random NYC streets vandalizing HK posters!!! The new musical that I created Hell's Kitchen,  begins previews on Broadway 3/28|||I think today's complaining of ChatGPT wrong answers is similar to 1970's complainin that their SEQUEL (Structured English Query Language) gives funny/ridiculous results.|||I want so obviously, so desperately to be loved, and to be capable of love. I am still so naive; I know pretty much what I like and dislike; but please, don't ask me who I am. A passionate, fragmentary girl, maybe?|||What horrifies me most is the idea of being useless: well-educated, brilliantly promising, and fading out into an indifferent middle-age.|||She kisses in a way that makes me think, in the middle of kissing her, that if I hadn’t done this, I’d walk around for the rest of my life with some kind of regret whose origins I could never entirely place."
ISTJ,"If you don’t design your own life plan, chances are you will fall into someone else’s plan. And guess what they have planned for you? Not much.|||The best thing that ever happened to me as a student was when a teacher told me ""Let me get back to you on that. I don't know the answer but I’ll do some research.""It proved to me that you don’t always need to share an immediate opinion or pretend like you know everything.|||I don’t think people realize how much strength it takes to pull one’s self out of a mentally dark place. So if you’ve done that today or any day, I am proud of you|||To anyone who feels like they “wasted” the time during quarantine because they didn’t write a book or learn a second language or get their bodies in shape, I have good news: Quarantine ain't over get back inside.|||Nobody can go back and start a new beginning, but anyone can start today and make a new ending.|||Have a sense of humor while watching this video! No one is talking shit or trying to put anyone down. So don’t look to get your feelings hurt!|||I know that some of you may not understand this concept but dream big and then figure it the fuck out! Dreams are not dreams if you know you can reach and achieve them!|||"
other,"It’s been a really long time since i last played live and I’m so excited to share that I’ll be headlining 
@rockinrioon Sept 22nd. I’ve missed being on stage and seeing you all in person so much!I’ve also been working on a new album and i can’t wait to play these new songs live for you. See you there. eu te amo!!!!}]|||creating art can be hard mannn…I’ve found myself many times looping in a pattern of waiting for inspiration to strike before picking up the guitar or sitting at the piano. Eventually i remember how important the willingness to just show up is. How showing up and trying even with nothing is kinda like sending a message up to the sky saying “i’m here and willing and open” and usually, that’s when my hands stumble across a little special chord or my voice a melody that i like|||Pura Vida!!!! Happy New year!! I’m so looking forward to this year! grateful grateful grateful|||Thank you Tommy for the opportunity to co create with you & your incredible team. Thank you for always pushing boundaries for sustainable clothing & thank you for inviting my FAMILY to be part of this campaign. It means the world. So proud of this collection|||Stop asking actors to describe their film in 3 words…|||Maybe if I got a Costco membership I would feel less alone, who knows|||If I can’t find a place to park I might as well go home, I can’t handle this|||I thought a “darty” was a term for a…. dirty party. Like a gross frat house party. Turns out, it doesn’t mean that and I just didn’t go to college and I have social anxiety so I really never found out til I was 27 and shooting a scene in a show where there was a “darty.|||Since I was 12, l've struggled with acne. My skin has suffered consistent breakouts, hyperpigmentation, redness and scarring. I feel impassioned and motivated to find solutions for not only myself, but others who struggle as well. This is my skin now, makeup free... no filter. I can't wait to share more about what I've been working on|||I wish there were more average sized arms represented in mainstream media for women. My body dysmorphia has been going crazy because I feel like my arms need to be half the size they are currently? We’ve glamorized these skinny arms that, for most of us, can only be achieved if you’re a literal adolescent.|||Stop making villains out of women every chance you get.|||What are some Betty wardrobe staples I should try to steal from production when we wrap?|||Whenever I hear the song Unholy, I just think of all the Daemon Targaryen thirst trap tik toks I was exposed to last year"
ISTP,"It feels like everything in my life is falling in place the right way…thanks to the most high|||I can’t believe I just sold out the o21 !!!!!!London I owe yall for eternity !!!!lcench popcaan j hus yall helped me make this night special !!!!|||Sometimes having a good heart is a bad trait|||I would never disrespect nas or any legend who paved the way for me y’all be tryna take stuff and run with it|||I left my house for the first time in 6 weeks to shoot my scene in this awesome movie during lockdown and when I say I took home the prop wine, I mean I left the set having burglarized the alcohol. But they didn’t cut my scene out so I feel good about it. Go see this movie!!!|||President Biden’s American Rescue Plan is a massive win for families. The Child Tax Credit will cut child poverty nearly in half. This is a huge deal. Thank you to everyone who supported this bill!|||on international women’s day i want to uplift and celebrate two phenomenal women in my life—mila and tessa. i see you, i uphold your achievements, i recognize the challenges you face, and i support your rights. i love you bot|||"
ISFP,"you guys really went to the location. i fucking love you. get home safe!|||my second favorite episode is “A Mulhouse Divided” Season 8 ep 6. Homer laughing at “Can I borrow a feeling” is top tier.|||hy is everyone just arguing on here?|||ILLUSION OUT NOW !!!!! I hope you love this song and video as much as we really truly loved and had fun making this. This song started everything for this album sonically and it was the first song I wrote with ""the band” it has just made me even more excited for Radical Optimism in 3 WEEKS ~ aaaaahhh it’s all bloody kicking off!!!|||It's hard to put into words the gratitude I feel for all the incredible people that I get to share this stage with. On stage and behind the scenes. Thank you to everyone for all the love i'm still on a high from last nights energy and thank you to everyone who voted for me for Pop Act! This is all you - got more coming for yaaaaa soon!!!|||I don't know what to say about 
@MayaAndMarty except thank you! It was like opening an hour long present."
ENTP,"In solidarity with the upcoming UPS strike, SAG-AFTRA is now delivering all of its packages in person.//Congratulations to promising young newcomer Daniel Radcliffe, who just got his very first Emmy nomination! #EmmysSoWeird//Sorry for screaming at the top of my lungs, but WEIRD: THE AL YANKOVIC STORY JUST GOT EIGHT EMMY NOMINATIONS!!!!//Dan Butts, the production designer for WEIRD: The Al Yankovic Story, just gave my daughter a tour of his studio, and also was nice enough to give her her the exact thing every young woman wants: her father’s melted head in a bucket.//I’m so incredibly proud of our #WEIRDTheAlYankovicStory team. Everybody in the crew worked at the absolute top of their game, including our unbelievably talented hair and make-up department heads Kat Bardot and Leslie Borchard, who wrote this in-depth article.//There are now up-res versions of EVERY SINGLE ONE of my music videos, thanks to the work of our friend Pete Holmberg. So good news if you've been looking for an excuse to go down a Weird Al video rabbit hole on YouTube... they've never looked better!//At long last, the double-LP soundtrack album for WEIRD: The Al Yankovic Story is out TODAY! Available everywhere records are sold. (It comes in hot pink vinyl, but Barnes & Noble is also selling a limited-edition glow-in-the-dark green version!)//The comedic geniuses behind 30 Rock and Unbreakable Kimmy Schmidt have a brand new animated series on 
@Netflixcalled Mulligan. It takes place in a post-alien-invasion apocalyptic world where the only surviving celebrities are 
@Questloveand myself. Check it out!//Like any rational human, I've dreamed my entire life of working with the Muppets - so you can imagine how thrilled I was to make an appearance in 
@Muppets_Mayhem(all episodes streaming right now on @DisneyPlus!)//Just got back home after a couple months on tour and a brief family vacation, and now we’re opening up a room full of delivered packages. It’s like Christmas morning!//Am I ready for the upcoming total #eclipse? Well, thanks in part to @airandspace’s limited edition merch, I am! You can get yours at https://totaleclipsemerch.com//Maggie looking fabulous on #NationalPuppyDay//In celebration of spring, my bedroll is $20 off through Monday! Buy here: https://adamsavage.com//Another astounding day at @PlanetComicon! Kansas City, your #cosplay game is on point! So impressed with your costumes and builds. Looking forward to seeing more tomorrow! #planetcomicon//What an amazing day yesterday at @PlanetComicon! Thanks to all who came to see me. I can’t wait for today! I’ll be signing and taking selfies all day. Hope to see some of you there! #PlanetComicon//Hello, @PlanetComicon!!! I am so excited to be here!!! See you soon!#planetcomicon #KansasCity//Today I leave for Kansas City and 
@PlanetComicon, and I'm SO excited! Here's my schedule -- I hope to see some of you there! https://planetcomicon.com#Planetcomicon//Maggie with one of the gifts a fan who visited me at Fan Expo Vancouver gave me. Next up for me: @PlanetComiconTHIS weekend! I can’t wait — I’ll be there all three days. https://planetcomicon.com#planetcomicon//Hello, #KansasCity! I am SO excited to be back in your wonderful city next week for @PlanetComicon!!!! I can’t wait to see what amazing costumes you’ll be wearing this time! See you  soon. (Also: Happy anniversary, #planetcomicon!!!)//The secret of getting ahead is getting started.//Be careful about reading health books. You may die of a misprint.//Travel is fatal to prejudice, bigotry, and narrow-mindedness, and many of our people need it sorely on these accounts.//I can teach anybody how to get what they want out of life. The problem is that I can't find anybody who can tell me what they want.//There are many humorous things in the world; among them, the white man's notion that he is less savage than the other savages.//Big Day for Skyline High School in Oakland, CA!  Glad to be a part of it!  Hanx, ‘74.//Look! I hit on a King and a Deuce! 21! Hanx.//Here’s last week's bag of plasma. Such a bag!  After the paperwork, it’s as easy as taking a nap.  Thanks @arimoin and UCLA. Hanx//I’m so sorry to hear of the passing of a great artist, the composer Eric Carmen. Eric, thank you for sharing your brilliance with the world, and giving me the chance to sing one of your most beautiful songs, “All By Myself.”"
